record_id,redcap_event_name,changes
4,first_post_series_arm_1,
5,first_post_series_arm_1,"feel more able to screen for dementia and discuss end of life issues"
6,first_post_series_arm_1,"Might use more of the community resources"
7,first_post_series_arm_1,"More efficient in managing hep C"
8,first_post_series_arm_1,"more aware of when to discuss POLST and Advanced Directives as well as polypharmacy"
9,first_post_series_arm_1,"feel much more comfortable managing difficult cases"
10,first_post_series_arm_1,n/a
11,first_post_series_arm_1,"More concentration on medicine reconciliation, more discussions with patients and families regarding living will planning, more assessments of dementia"
12,first_post_series_arm_1,
13,first_post_series_arm_1,"Better screening tools and resources."
14,first_post_series_arm_1,"discuss more options regarding community care options for patients in need"
15,first_post_series_arm_1,"SCREENING MORE FOR COGNITIVE  ISSUES and high risk medications "
16,first_post_series_arm_1,"being more mindful of polypharmacy/med reconciliation."
17,first_post_series_arm_1,"Feel more confident assessing Hep C and geriatric patients."
18,first_post_series_arm_1,"medication reconciliation and reducing high-risk meds for my elderly pts"
20,first_post_series_arm_1,"Better able to eliminate high risk meds from my pts medication regimens. Better able to set appropriate goals for my elderly pts."
21,first_post_series_arm_1,.
22,first_post_series_arm_1,"I feel more competent in discussing palliative and end of life care."
23,first_post_series_arm_1,"Increased screening for medication interaction, increased referrals to community services, increased evaluation for life expectancy"
25,first_post_series_arm_1,"more aware of cofactors for falls"
26,first_post_series_arm_1,"Discussing advanced directives with residents and families."
27,first_post_series_arm_1,"Become more aware of specific medical issues related to the geriatric population"
28,first_post_series_arm_1,"Medication management "
29,first_post_series_arm_1,"I have better understanding of med reconciliation and feel more comfortable discontinuing medications"
30,first_post_series_arm_1,"screening properly for cognitive issues "
32,first_post_series_arm_1,"Nothing in particular comes to mind at this time "
33,first_post_series_arm_1," -more thorough examination of patient medications  -expanding my knowledge of community resources"
34,first_post_series_arm_1,"more comfortable treating patients with hep c, older adults and behavioral concerns"
35,first_post_series_arm_1,"be more aware of extending preventative screening in those with longer lifespan, addressing polypharmacy/falls"
36,first_post_series_arm_1,"Life expectancy estimation"
37,first_post_series_arm_1,"Fall assessments, medication reconciliation"
38,first_post_series_arm_1,"More aware to ask and direct in many geriatric related issues"
40,first_post_series_arm_1,"havent had chances to apply yet"
41,first_post_series_arm_1,"improved geriatric care"
42,first_post_series_arm_1,"Implemented practice improvements discussed in the sessions"
43,first_post_series_arm_1,"Med rec"
44,first_post_series_arm_1,"Changes in practice."
45,first_post_series_arm_1,"screening frequency"
46,first_post_series_arm_1,.
47,first_post_series_arm_1,"Plan to use MOCA instead of MMSE for dementia screening"
48,first_post_series_arm_1,"Paying closer attention to age-appropriate treatment goals e.g. HgA1c, need for screening e.g. mammography "
49,first_post_series_arm_1,"Applied various tools and guidelines"
50,first_post_series_arm_1,"more careful med reconciliation"
51,first_post_series_arm_1,"Increase in consults to professionals "
52,first_post_series_arm_1,"To review medication "
53,first_post_series_arm_1,"starting to calculate life expectancy "
54,first_post_series_arm_1,". "
