sport;substance_reason;sanction_terms;sanction_announced
Cycling;Androgenic Anabolic Steroid;"4-Year Suspension; Loss of Results";08/11/2021
Weightlifting;Stanozolol;"4-Year Suspension; Loss of Results";08/11/2021
Pentathlon;"Ostarine; LGD?4033; GW1516";6-Year Suspension;08/06/2021
Mixed Martial Arts;Cocaine;1-Month Suspension;07/29/2021
Track and Field;Cannabinoids;"1-Month Suspension; Loss of Results";07/02/2021
Weightlifting;Dehydrochloromethyltestosterone (DHCMT);"4-Year Suspension; Loss of Results";07/01/2021
Paralympic Track and Field;"Ostarine; LGD?4033";"12-Month Suspension; Loss of Results";06/29/2021
Mixed Martial Arts;Stanozolol;18-Month Suspension;06/16/2021
Paralympic Judo;Non-Analytical: Refusal to Submit to Sample Collection;"4-Year Suspension; Loss of Results";06/16/2021
Weightlifting;"Oxymetholone; Dehydrochloromethyltestosterone (DHCMT); Arimistane; Torasemide";"4-Year Suspension; Loss of Results";06/03/2021
Track and Field;Cannabinoids;"1-Month Suspension; Loss of Results";06/03/2021
Track and Field;1,4?dimethylpentylamine (1,4?DMPA);"2-Year Suspension; Loss of Results; Additional 3 months of suspension";"Original: 11/04/2019;"
Rowing;"Non-Analytical: Possession and Use/Attempted Use; Administration (LGD-4033)";Lifetime Suspension;05/13/2021
Mixed Martial Arts;Growth hormone releasing peptide 2 (GHRP-2);22-Month Suspension;05/05/2021
Mixed Martial Arts;"Hydrochlorothiazide (HCTZ); Possession and Use/Attempted Use; Evading Sample Collection";2-Year Suspension;05/03/2021
Swimming;Cannabinoids;"1-Month Suspension; Loss of Results";04/29/2021
Weightlifting;Testosterone;"20-Month Suspension; Loss of Results";04/28/2021
Cycling;"Testosterone; Nandrolone; Dehydroepiandrosterone (DHEA); Somatropin (hGH); Ipamorelin; GHRP-6; CJC-1295; IGF-1; Human chorionic gonadotropin (hCG); Anastrozole";"4-Year Suspension; Loss of Results";04/15/2021
Track and Field;Dehydrochloromethyltestosterone (DHCMT);"30-Month Suspension; Loss of Results";04/08/2021
Paralympic Archery;Testosterone;"15-Month Suspension; Loss of Results";04/05/2021
Weightlifting;Cannabinoids;"6-Month Suspension; Loss of Results";03/05/2021
